"filename", "language", "CSS", "JavaScript", "JSON", "XML", "comment", "blank", "total"
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\App.css", "CSS", 32, 0, 0, 0, 0, 8, 40
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\App.js", "JavaScript", 0, 141, 0, 0, 0, 10, 151
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 2, 9
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\Styles\add_client.css", "CSS", 14, 0, 0, 0, 0, 3, 17
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\Styles\chart.css", "CSS", 8, 0, 0, 0, 2, 0, 10
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\Styles\dashboard\datacard.css", "CSS", 11, 0, 0, 0, 0, 1, 12
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\Styles\dashboard\quicklinks.css", "CSS", 17, 0, 0, 0, 0, 0, 17
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\Styles\login_page.css", "CSS", 27, 0, 0, 0, 0, 5, 32
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\Styles\my_tree_view.css", "CSS", 51, 0, 0, 0, 1, 3, 55
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\Styles\order_history.css", "CSS", 4, 0, 0, 0, 0, 0, 4
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\Styles\personal_info.css", "CSS", 6, 0, 0, 0, 0, 3, 9
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\Styles\sidebar.css", "CSS", 58, 0, 0, 0, 1, 10, 69
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\Styles\support.css", "CSS", 6, 0, 0, 0, 0, 1, 7
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\Styles\tree_card.css", "CSS", 14, 0, 0, 0, 1, 1, 16
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\Styles\wallet.css", "CSS", 6, 0, 0, 0, 0, 0, 6
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\Activate_client.js", "JavaScript", 0, 22, 0, 0, 0, 4, 26
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\Activate_client_form.js", "JavaScript", 0, 81, 0, 0, 2, 21, 104
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\Add_client.js", "JavaScript", 0, 39, 0, 0, 0, 9, 48
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\Add_money.js", "JavaScript", 0, 17, 0, 0, 0, 5, 22
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\Address_form.js", "JavaScript", 0, 127, 0, 0, 2, 21, 150
"f:\1 REACT JS\Jh_MLM\jh_mlm\src\components\All_team_table.js", "JavaScript", 0, 82, 0, 0, 8, 9, 99
